Molecule,Solubility
A-2785,-7.981474
A-2788,-7.782007
A-2789,-7.831098
A-2790,-7.946875
A-2792,-8.068072
A-2794,-8.267744
A-2796,-8.097434
A-2797,-8.123729
A-2798,-8.616767
A-2801,-8.859980
A-2802,-9.151811
A-2803,-9.707106
A-2804,-9.649989
A-2805,-3.835390
A-2807,1.013864
A-2814,0.612751
A-2819,-1.142974
A-2823,0.946191
A-2824,-0.225028
A-2831,-0.147374
A-2836,-2.781128
A-2846,0.455783
A-2850,0.642748
A-2852,-0.412857
A-2854,0.488999
A-2857,0.118784
A-2864,-0.453789
A-2865,-1.285473
A-2869,-1.055812
A-2873,-6.337017
A-2875,-0.439029
A-2885,-1.508782
A-2891,0.710489
A-2893,-0.835226
A-2895,0.179474
A-2901,-1.893819
A-2904,-1.763582
A-2907,-0.799143
A-2908,-0.773034
A-2918,2.137682
A-2921,-0.820716
A-2924,0.103413
A-2927,-0.701548
A-2930,-1.198775
A-2933,-1.733847
A-2937,-1.744789
A-2940,-1.855655
A-2942,-1.942300
A-2943,-1.901345
A-2947,0.155357
A-2950,-4.947029
A-2951,-1.130402
A-2955,-1.103104
A-2962,0.267899
A-2969,-0.849573
A-2971,1.129136
A-2981,-0.977488
A-2985,-0.095299
A-2991,-0.181251
A-2993,0.175241
A-3000,0.777999
A-3002,0.079017
A-3005,0.931102
A-3006,1.124296
A-3007,1.214073
A-3008,1.136112
A-3018,0.867399
A-3021,-2.357025
A-3024,-2.639898
A-3025,-2.151066
A-3027,-2.231757
A-3028,-2.375047
A-3029,-2.291104
A-3035,-2.663076
A-3043,-2.675907
A-3047,-3.053386
A-3049,-3.125540
A-3054,-3.574289
A-3061,-3.969240
A-3066,-4.693292
A-3067,-4.867097
A-3068,-5.149040
A-3073,-6.964446
A-3074,-4.847280
A-3075,-0.165775
A-3077,-0.279037
A-3078,0.655490
A-3081,0.877677
A-3082,-0.233704
A-3083,0.056273
A-3084,-0.196760
A-3089,0.957793
A-3091,-0.500013
A-3098,0.845456
A-3099,0.038175
A-3118,0.019068
A-3123,-1.047745
A-3128,-1.171452
A-3129,-1.333055
A-3132,-1.228027
A-3133,-1.285895
A-3137,1.031656
A-3144,0.815044
A-3146,0.792403
A-3149,0.080542
A-3151,-0.057370
A-3162,0.901423
A-3163,-0.025404
A-3169,0.860121
A-3174,-0.079007
A-3175,1.578491
A-3179,-1.059279
A-3180,-0.130912
A-3181,-1.299081
A-3186,-1.260334
A-3190,-1.214584
A-3193,-1.057370
A-3195,-1.406222
A-3196,-1.306675
A-3197,-1.301526
A-3201,-1.167514
A-3202,-1.387195
A-3205,-1.225545
A-3206,-1.352585
A-3209,-1.227919
A-3210,-1.173834
A-3212,-0.295452
A-3216,0.580971
A-3218,-0.267205
A-3219,-0.207418
A-3220,0.938636
A-3233,0.802694
A-3235,-0.189995
A-3249,0.005967
A-3250,1.368643
A-3256,-3.708142
A-3263,0.785360
A-3264,1.005827
A-3270,-0.196737
A-3273,-1.229318
A-3276,-1.598290
A-3279,-1.038398
A-3281,-1.289975
A-3284,-1.241602
A-3290,-1.336079
A-3293,-1.219629
A-3294,-1.503822
A-3296,-1.342950
A-3301,1.175855
A-3306,0.286518
A-3313,0.492440
A-3316,-0.439028
A-3328,-0.050409
A-3344,-0.128995
A-3346,0.738903
A-3348,0.968391
A-3353,-0.216595
A-3354,-0.282381
A-3357,0.562704
A-3360,-0.201666
A-3365,-0.341616
A-3367,0.591790
A-3372,-0.373678
A-3374,0.057189
A-3375,1.001718
A-3376,0.614880
A-3379,-0.067511
A-3380,-0.079826
A-3381,-0.552855
A-3385,-1.394868
A-3387,-1.160846
A-3389,-1.472234
A-3391,-0.194310
A-3393,-1.056973
A-3397,-1.209572
A-3398,-1.507773
A-3399,-1.405191
A-3401,-1.255497
A-3403,-1.364425
A-3404,-1.187180
A-3407,-1.325094
A-3411,-1.275711
A-3412,-1.494201
A-3416,0.840273
A-3432,-0.575437
A-3433,-0.094549
A-3434,-0.658699
A-3435,0.476843
A-3437,0.832693
A-3438,0.340366
A-3444,0.577881
A-3445,0.437676
A-3446,0.571848
A-3447,-0.087766
A-3452,-0.524835
A-3459,-0.560814
A-3462,0.786548
A-3464,0.666701
A-3469,-0.569415
A-3472,-0.431709
A-3473,-0.321468
A-3475,-0.263632
A-3481,-0.327612
A-3487,-0.315501
A-3488,-0.405238
A-3490,0.777077
A-3496,-0.324556
A-3501,-2.161609
A-3502,1.626441
A-3503,0.502482
A-3505,0.438527
A-3506,-0.404259
A-3508,-0.159007
A-3512,-1.181917
A-3514,-1.373595
A-3515,-1.050749
A-3516,-1.417253
A-3518,-1.335254
A-3519,-1.357574
A-3521,-1.487653
A-3525,-1.327249
A-3526,-1.453579
A-3527,-1.488726
A-3530,-1.622546
A-3532,-1.378147
A-3533,-1.481553
A-3534,-1.471757
A-3536,-1.668298
A-3537,-1.375967
A-3538,-1.469038
A-3539,-1.415574
A-3540,-1.692640
A-3542,-1.525987
A-3543,-1.531423
A-3547,-1.508196
A-3548,-1.624003
A-3549,-1.591550
A-3558,-0.346106
A-3560,-0.450786
A-3561,-0.460794
A-3562,-0.099255
A-3566,0.516804
A-3582,-0.327925
A-3596,-2.735926
A-3599,-0.583381
A-3601,-0.344451
A-3611,-0.458339
A-3612,-0.372768
A-3615,0.612342
A-3616,0.703632
A-3621,-0.706709
A-3623,-0.355954
A-3642,-0.742062
A-3651,0.490307
A-3653,0.355851
A-3661,-0.460192
A-3673,-0.548311
A-3674,-0.502954
A-3678,0.618116
A-3687,0.838033
A-3690,-0.790861
A-3691,-0.481382
A-3694,-1.634841
A-3700,-1.402200
A-3702,-1.540498
A-3706,-1.508278
A-3712,-1.718847
A-3713,-1.552041
A-3714,-1.417811
A-3716,-0.004250
A-3720,-1.795386
A-3725,-1.558983
A-3733,-1.414000
A-3737,-1.771822
A-3738,-1.474321
A-3739,-1.600248
A-3741,-1.433338
A-3742,-1.377449
A-3744,-1.564736
A-3746,-1.718248
A-3749,-1.503965
A-3751,-1.875569
A-3752,0.838033
A-3754,-1.636739
A-3762,-0.576732
A-3765,0.525736
A-3768,0.344993
A-3773,-0.507185
A-3774,-0.507185
A-3786,-0.667781
A-3788,-0.655055
A-3791,0.439922
A-3794,-1.576311
A-3795,-0.465573
A-3799,0.230443
A-3804,-0.653770
A-3805,-0.716526
A-3806,-0.692137
A-3807,-0.461082
A-3808,-0.425017
A-3821,0.444511
A-3825,-0.655243
A-3830,0.237321
A-3831,0.456310
A-3842,-0.527274
A-3847,0.397509
A-3854,0.390670
A-3858,-0.666726
A-3865,-2.673526
A-3866,0.553678
A-3869,0.698594
A-3872,-0.736268
A-3873,-0.620143
A-3875,-0.687915
A-3876,-0.687785
A-3878,-0.556793
A-3880,-1.607003
A-3881,-1.629619
A-3883,-1.656093
A-3884,-1.786366
A-3889,0.404352
A-3890,-1.720972
A-3892,-1.900555
A-3893,-1.821038
A-3895,-1.537583
A-3896,-1.995303
A-3897,-1.581104
A-3898,-1.638327
A-3900,-1.905119
A-3903,-1.852602
A-3904,-1.642266
A-3905,-1.559215
A-3907,-1.485842
A-3908,-1.675687
A-3909,-1.817914
A-3910,-1.919235
A-3914,-1.715099
A-3915,-1.805906
A-3919,-1.516593
A-3921,-1.598519
A-3922,-1.742195
A-3924,-1.468025
A-3926,-1.621049
A-3929,-1.862006
A-3931,-1.711112
A-3932,-1.660176
A-3934,-1.628641
A-3935,-1.630818
A-3939,-1.459734
A-3943,1.536339
A-3950,0.043604
A-3954,-0.527751
A-3955,-0.713922
A-3956,-0.520474
A-3964,-3.732720
A-3965,-0.814941
A-3975,-0.563562
A-3976,-0.859821
A-3977,-0.602013
A-3986,0.127131
A-3988,0.512136
A-3992,0.410790
A-3996,-0.560826
A-3999,-0.687660
A-4000,-0.406709
A-4001,-0.619013
A-4006,0.962740
A-4017,-0.742461
A-4024,0.328668
A-4025,-3.327457
A-4029,0.224311
A-4030,0.371232
A-4031,-0.744727
A-4034,-0.704896
A-4036,-0.896196
A-4040,0.068202
A-4043,0.414559
A-4044,-0.254141
A-4047,-0.662919
A-4049,-0.314879
A-4052,-0.573447
A-4070,-0.753839
A-4073,-1.011494
A-4074,-0.667032
A-4082,-0.033756
A-4084,0.371717
A-4093,-1.076302
A-4094,-0.757588
A-4097,0.268334
A-4100,0.569379
A-4106,0.375391
A-4112,-0.877904
A-4114,0.758962
A-4115,-1.057126
A-4116,-0.785924
A-4119,-0.633923
A-4123,-0.774966
A-4125,-0.563428
A-4128,-1.619930
A-4130,-1.587161
A-4132,-1.673120
A-4133,-1.549961
A-4136,-2.221633
A-4138,-1.842241
A-4142,-1.799728
A-4143,-1.850192
A-4144,-1.809694
A-4145,-0.922963
A-4146,-1.863533
A-4147,-1.706127
A-4151,-1.901477
A-4152,-1.805451
A-4153,-1.772587
A-4154,-1.799017
A-4156,-1.446332
A-4158,-1.588581
A-4162,-1.788244
A-4163,-1.944045
A-4167,-1.780035
A-4169,-1.763160
A-4170,-1.849355
A-4175,-2.065265
A-4176,-1.744233
A-4178,-1.885322
A-4179,-2.006359
A-4180,-1.826243
A-4181,-1.723702
A-4182,-1.833765
A-4184,-1.802914
A-4185,-1.844064
A-4186,-1.855294
A-4188,-1.918545
A-4189,-1.858869
A-4192,-1.990079
A-4193,-1.931165
A-4197,-1.925085
A-4198,-1.750124
A-4200,-1.804594
A-4202,1.630235
A-4204,-2.233440
A-4205,-1.806760
A-4206,-1.869833
A-4207,-1.789422
A-4211,-1.914237
A-4223,0.192773
A-4224,0.351057
A-4238,-4.879551
A-4240,0.495819
A-4242,-0.016848
A-4246,0.412016
A-4248,0.397295
A-4252,-0.860835
A-4254,-2.175140
A-4257,-1.063682
A-4258,-0.862721
A-4259,-1.138788
A-4260,-1.016983
A-4264,-0.805924
A-4271,0.020110
A-4277,0.068475
A-4283,-1.179798
A-4285,-1.087251
A-4286,-0.531030
A-4287,-0.967474
A-4291,-0.985949
A-4296,0.102111
A-4301,0.336340
A-4303,0.083023
A-4305,-1.301636
A-4306,-0.936026
A-4307,-0.889164
A-4308,-0.913922
A-4312,-0.785855
A-4316,-0.853333
A-4322,-0.304510
A-4325,-1.102862
A-4326,-0.898694
A-4329,-0.864496
A-4334,-1.003418
A-4335,-0.938742
A-4336,-0.853925
A-4337,-1.096509
A-4339,-0.759083
A-4349,0.043942
A-4351,0.212432
A-4356,-0.032127
A-4359,0.038474
A-4364,-1.026923
A-4376,-0.851480
A-4377,-0.944324
A-4379,-1.053070
A-4392,1.287890
A-4400,-0.044932
A-4401,-1.114155
A-4402,-1.218415
A-4405,-1.091532
A-4406,-1.099994
A-4411,-0.821231
A-4412,-1.082667
A-4414,-1.183121
A-4416,0.049757
A-4423,-0.144824
A-4430,-0.075223
A-4433,-1.340109
A-4436,-1.023516
A-4437,-1.418639
A-4438,-1.141273
A-4439,-0.903789
A-4440,-1.181216
A-4442,-1.000452
A-4444,-1.093091
A-4445,-1.061358
A-4446,-0.950835
A-4449,-0.698476
A-4450,0.126660
A-4453,0.188516
A-4458,1.003488
A-4461,-0.199755
A-4462,-0.076541
A-4463,0.116504
A-4465,-1.036598
A-4466,-0.977550
A-4468,-1.048662
A-4470,-1.082442
A-4471,-1.081092
A-4472,-1.364029
A-4474,-0.859899
A-4477,-1.126518
A-4478,-1.251505
A-4479,-0.141667
A-4480,0.745213
A-4484,0.090131
A-4486,0.005493
A-4489,0.233502
A-4492,0.016732
A-4493,-0.232458
A-4495,1.045169
A-4496,1.054995
A-4498,1.003782
A-4499,1.130281
A-4500,0.912968
A-4503,0.974199
A-4504,0.702848
A-4507,0.982328
A-4508,0.923855
A-4509,0.823405
A-4510,0.826260
A-4511,1.094129
A-4512,1.070264
A-4513,0.935108
A-4514,1.148259
A-4515,1.075111
A-4516,1.135851
A-4517,1.130047
A-4518,1.030915
A-4519,1.107149
A-4520,0.986468
A-4522,0.759009
A-4523,0.841125
A-4524,1.059872
A-4525,1.008309
A-4526,1.135851
A-4527,1.136112
A-4528,1.365835
A-4529,1.045169
A-4530,1.045169
A-4531,1.003589
A-4532,1.243394
A-4533,0.896449
A-4534,1.346392
A-4535,1.017245
A-4536,0.920443
A-4537,1.336554
A-4538,0.999492
A-4539,0.982345
A-4540,0.982345
A-4544,1.130024
A-4545,1.130305
A-4549,0.943011
A-4551,-0.086876
A-4557,-1.205107
A-4559,-1.448935
A-4560,-0.979564
A-4567,-1.176603
A-4570,-1.025801
A-4571,-2.226110
A-4572,-2.105211
A-4576,-1.889383
A-4579,-1.993327
A-4580,-1.055361
A-4582,-1.885267
A-4587,-2.055017
A-4588,-1.976704
A-4589,-2.355850
A-4591,-2.192561
A-4592,-1.642309
A-4593,-2.350746
A-4597,-2.124351
A-4598,-1.877341
A-4600,-2.094897
A-4604,-1.981673
A-4605,-2.245992
A-4606,-2.011279
A-4607,-2.152068
A-4610,-1.942572
A-4613,-2.201709
A-4616,-1.792410
A-4620,0.522530
A-4623,-2.415353
A-4624,-2.042314
A-4625,-1.906541
A-4627,-2.067962
A-4628,-2.145566
A-4629,-2.045238
A-4630,-1.980572
A-4631,-2.012378
A-4634,-2.191038
A-4639,-2.178420
A-4642,-2.243099
A-4645,-2.040520
A-4648,-2.144050
A-4649,-2.308128
A-4652,-2.050971
A-4654,-2.173105
A-4658,-2.191090
A-4659,-2.147287
A-4661,-2.061974
A-4662,-2.130385
A-4663,-2.071885
A-4664,-2.279226
A-4665,-2.279386
A-4667,-2.136202
A-4668,-1.564400
A-4671,-2.199127
A-4676,-2.111501
A-4678,-2.272991
A-4679,-2.179291
A-4680,-2.055510
A-4683,-2.257749
A-4684,-2.130728
A-4688,-2.238585
A-4689,-2.246662
A-4690,-2.258829
A-4691,-2.008728
A-4695,-2.345697
A-4699,-2.314375
A-4703,-2.293481
A-4704,-2.210072
A-4707,-2.189959
A-4709,-2.221207
A-4711,-2.313438
A-4712,-2.001264
A-4714,-2.224446
A-4715,-2.160472
A-4716,-2.192586
A-4718,-2.239624
A-4720,-2.331673
A-4722,-2.406178
A-4724,-2.406536
A-4725,-2.416604
A-4732,-2.307123
A-4736,-1.866846
A-4737,-2.470774
A-4741,-2.255958
A-4742,-2.262841
A-4743,-2.354221
A-4744,-2.522681
A-4746,-2.334783
A-4750,-2.453297
A-4751,-2.356615
A-4754,-2.490779
A-4756,-2.892356
A-4757,-2.576943
A-4758,-2.391401
A-4762,-2.424454
A-4764,-2.336416
A-4767,-2.417382
A-4768,-2.420558
A-4769,-2.446138
A-4771,-2.882185
A-4775,-2.339542
A-4776,-2.702803
A-4778,-2.506712
A-4779,-2.491224
A-4780,-2.792948
A-4782,-2.515915
A-4785,-2.447859
A-4786,-2.766776
A-4787,-2.812143
A-4788,-2.812143
A-4790,-2.734641
A-4792,-2.517544
A-4795,-2.474719
A-4798,-2.510422
A-4801,-2.489691
A-4802,-2.486376
A-4803,-2.337941
A-4807,-2.675782
A-4808,-2.535987
A-4810,-2.662589
A-4812,-2.550298
A-4815,-2.563966
A-4816,-2.673526
A-4817,-2.568561
A-4821,-2.514944
A-4822,-2.701591
A-4823,-2.233151
A-4824,-2.905955
A-4825,-2.544367
A-4826,-3.185104
A-4828,-2.557080
A-4829,-2.637377
A-4830,-2.449320
A-4831,-2.738773
A-4835,-2.660026
A-4837,-2.878601
A-4842,-2.747405
A-4845,-2.582542
A-4846,-2.647744
A-4849,-2.883311
A-4854,-2.961106
A-4863,-2.747739
A-4865,-2.767854
A-4867,-2.767362
A-4870,-2.806877
A-4872,-3.088724
A-4874,-3.004181
A-4876,-2.830261
A-4878,-2.908516
A-4884,-2.613556
A-4889,-3.026344
A-4890,-3.045355
A-4894,-2.917000
A-4896,-2.968989
A-4899,-3.000617
A-4900,-3.128034
A-4903,-3.159922
A-4905,-2.989804
A-4906,-2.710466
A-4907,-3.112894
A-4908,-3.066819
A-4911,-2.675673
A-4913,-3.114865
A-4914,-2.869076
A-4916,-3.264008
A-4918,-3.362302
A-4920,-3.196398
A-4921,-3.079929
A-4922,-3.259634
A-4923,-3.210298
A-4924,-3.291301
A-4926,-3.415043
A-4930,-3.171909
A-4931,-3.136279
A-4933,-3.152023
A-4934,-3.267982
A-4939,-3.499701
A-4941,-3.111478
A-4942,-3.271047
A-4943,-3.526034
A-4944,-3.102386
A-4945,-3.079886
A-4946,-3.437525
A-4952,-3.511896
A-4953,-3.411620
A-4955,-3.583510
A-4957,-3.631246
A-4958,-2.937345
A-4959,-3.574799
A-4960,-3.534247
A-4966,-3.643344
A-4968,-3.584333
A-4969,-3.367214
A-4972,0.443283
A-4974,-3.295936
A-4975,-1.178640
A-4980,-3.597624
A-4982,-3.659702
A-4984,-3.842597
A-4992,-3.988564
A-4993,-3.786029
A-4997,-3.996384
A-4998,-0.705980
A-4999,-3.673155
A-5000,-4.057248
A-5003,-3.954223
A-5004,-4.069491
A-5005,-4.100706
A-5007,-4.045967
A-5010,-2.475043
A-5012,-4.002369
A-5013,-4.349901
A-5015,-3.820221
A-5016,-4.005176
A-5018,-3.770340
A-5019,-4.116196
A-5021,-4.024301
A-5022,-4.672732
A-5026,-4.501127
A-5027,-4.062449
A-5028,-4.387911
A-5032,-4.150609
A-5033,-4.184067
A-5034,-4.236723
A-5035,-4.286891
A-5036,-4.216746
A-5040,-4.366128
A-5041,-2.989960
A-5043,-4.628206
A-5045,-4.465333
A-5048,-3.944170
A-5049,-4.434690
A-5050,-4.382358
A-5054,-4.514419
A-5057,-4.708654
A-5060,-4.772923
A-5061,-4.761072
A-5063,-4.838817
A-5065,-5.028667
A-5067,-4.979875
A-5069,-4.863892
A-5070,-5.070093
A-5072,-5.031142
A-5073,-5.123583
A-5074,-5.239735
A-5076,-5.182405
A-5077,-5.363817
A-5078,-5.706574
A-5082,-5.474678
A-5084,-6.073535
A-5090,-5.657903
A-5091,-5.747596
A-5095,-6.405660
A-5096,-6.107793
A-5097,-6.240524
A-5100,-6.618719
A-5101,-6.852054
A-5104,-7.273884
A-5106,-7.763261
A-5107,-7.615408
A-5110,-9.129966
A-5115,0.974427
A-5118,0.790628
A-5126,0.053341
A-5127,-1.347196
A-5133,1.527701
A-5138,0.832570
A-5139,-0.653663
A-5145,1.307032
A-5147,0.388774
A-5154,0.186449
A-5155,0.027342
A-5160,0.938623
A-5161,0.779374
A-5162,0.711690
A-5163,0.927471
A-5166,1.494280
A-5168,-0.079807
A-5169,-0.114421
A-5172,-0.072529
A-5179,-2.770854
A-5182,-2.722198
A-5183,-3.278943
A-5185,-4.563351
A-5186,-3.329290
A-5188,-5.553210
A-5190,0.901579
A-5193,0.889006
A-5195,-1.495423
A-5196,0.505516
A-5198,0.670925
A-5199,0.791965
A-5202,0.574615
A-5206,0.884647
A-5210,0.210993
A-5211,0.754918
A-5214,0.651531
A-5216,0.476466
A-5217,1.124515
A-5218,0.633546
A-5226,0.394426
A-5227,0.164213
A-5230,0.417321
A-5233,0.571441
A-5234,0.332779
A-5235,0.316191
A-5246,0.478156
A-5260,0.596016
A-5262,-1.647558
A-5264,-0.546768
A-5265,-0.779617
A-5266,-1.060530
A-5267,0.964258
A-5274,1.177450
A-5276,1.175072
A-5277,1.059992
A-5282,-0.197711
A-5299,0.928933
A-5303,0.990630
A-5305,0.835094
A-5307,-2.111397
A-5308,0.892197
A-5310,0.847094
A-5311,0.942364
A-5312,0.829146
A-5313,0.946307
A-5314,0.885579
A-5315,1.085625
A-5316,0.610106
A-5317,0.982328
A-5318,0.653098
A-5319,0.749024
A-5320,0.938638
A-5324,0.835225
A-5325,0.879193
A-5326,0.779440
A-5328,0.410836
A-5329,1.040434
A-5331,1.085625
A-5332,0.995227
A-5333,0.927794
A-5334,0.888875
A-5335,0.649262
A-5337,0.888875
A-5338,0.885419
A-5340,1.228648
A-5345,0.837884
A-5354,0.630324
A-5355,0.766506
A-5356,1.054659
A-5359,0.178205
A-5361,0.942547
A-5362,1.065047
A-5363,1.069815
A-5367,1.251316
A-5368,1.118644
A-5370,0.962064
A-5379,0.885286
A-5385,-0.196610
A-5386,-0.111286
A-5387,-0.017655
A-5388,-0.121110
A-5391,-0.093688
A-5392,-0.037590
A-5396,-1.499743
A-5402,-2.761514
A-5404,-4.040590
A-5405,-5.159680
A-5406,-1.569623
A-5408,0.159533
A-5413,-2.225137
A-5414,-3.204881
A-5423,-5.982567
A-5426,-2.251273
A-5429,0.786089
A-5432,-1.443654
A-5433,-1.602449
A-5437,0.057571
A-5445,0.454144
A-5450,-2.494903
A-5451,-5.530705
A-5456,-3.397432
A-5457,-7.687222
A-5458,-3.744078
A-5459,-3.354968
A-5462,-3.398457
A-5464,-0.653060
A-5465,-3.775990
A-5468,-1.471935
A-5469,-2.346916
A-5473,-4.219227
A-5474,-4.393184
A-5477,-4.399238
A-5478,-4.261752
A-5479,-4.522223
A-5480,-4.450428
A-5483,0.256719
A-5487,-4.380911
A-5490,-4.428849
A-5491,-5.171235
A-5493,-5.463100
A-5495,-4.991738
A-5496,-5.529966
A-5497,-5.530922
A-5499,-5.937290
A-5500,-5.963849
A-5505,-6.310390
A-5506,-6.836753
A-5507,-6.373646
A-5511,-6.789590
A-5513,-6.904486
A-5515,-7.133614
A-5516,-7.046360
A-5519,-7.544026
A-5520,-7.423829
A-5521,-7.375301
A-5522,-7.204596
A-5523,-7.327114
A-5524,-7.469065
A-5526,-7.397153
A-5529,-7.835716
A-5530,-8.190645
A-5531,-8.628051
A-5536,-7.611893
A-5537,-6.990428
A-5538,-6.444811
A-5540,-8.150868
A-5541,-7.573832
A-5545,-6.039760
A-5547,-7.122461
A-5548,-7.396502
A-5552,-7.602121
A-5553,-7.664712
A-5554,-7.641526
A-5555,-8.362938
A-5559,-9.129988
A-5560,-8.989632
A-5578,-6.813061
A-5581,-7.007488
A-5583,-7.694310
A-5584,-7.605298
A-5600,-7.866240
A-5601,-7.846560
A-5602,-7.806077
A-5603,-7.630599
A-5606,-8.004533
A-5607,-7.541447
A-5609,-5.949075
A-5614,-5.596059
A-5621,-7.905255
A-5623,-7.721758
A-5624,-7.891636
A-5625,-7.757995
A-5627,-7.825073
A-5638,-5.311627
A-5649,-7.966789
A-5660,-6.615390
A-5663,-6.815976
A-5664,-7.263234
A-5665,-7.965811
A-5666,-7.779843
A-5668,-7.783779
A-5670,-7.907389
A-5671,-8.101931
A-5673,-7.973612
A-5675,-6.983571
A-5676,-6.756603
A-5684,-6.926268
A-5687,-7.086497
A-5688,-5.743865
A-5693,-6.602799
A-5695,-7.882271
A-5696,-7.981148
A-5697,-8.141627
A-5698,-8.175069
A-5699,-7.931857
A-5700,-4.861741
A-5702,-5.857124
A-5709,-6.954694
A-5712,-5.968107
A-5725,-6.971234
A-5728,-7.066626
A-5730,-7.115253
A-5734,-5.949532
A-5736,-7.100195
A-5737,-7.188638
A-5741,-7.711833
A-5742,-8.184413
A-5743,-8.054415
A-5745,-8.348750
A-5746,-8.269885
A-5747,-7.982807
A-5749,-8.058503
A-5750,-8.217168
A-5753,-7.996998
A-5754,-7.969061
A-5755,-8.213807
A-5757,-8.458760
A-5758,-8.252098
A-5759,-8.166784
A-5769,-7.188496
A-5770,-7.112066
A-5778,-7.395302
A-5785,-7.304444
A-5786,-6.717140
A-5792,-6.293711
A-5801,-6.088239
A-5803,-7.288734
A-5811,-8.270150
A-5812,-8.462687
A-5813,-8.423596
A-5814,-8.377105
A-5817,-8.265049
A-5818,-8.271657
A-5819,-8.526560
A-5824,-6.055947
A-5829,-7.306378
A-5835,-7.692243
A-5836,-7.179920
A-5839,-7.330901
A-5841,-7.634486
A-5842,-7.461800
A-5847,-7.022026
A-5849,-7.395234
A-5853,-7.509559
A-5854,-7.255740
A-5863,-7.419805
A-5864,-7.455527
A-5865,-7.814241
A-5866,-7.473780
A-5868,-6.350206
A-5872,-6.457322
A-5875,-7.417968
A-5883,-6.449752
A-5884,-7.563214
A-5895,-7.581974
A-5896,-7.557968
A-5898,-7.525540
A-5899,-7.869298
A-5901,-7.484220
A-5909,-6.672809
A-5918,-7.830583
A-5919,-7.631732
A-5920,-7.481774
A-5921,-7.971771
A-5922,-7.752071
A-5923,-8.287652
A-5924,-8.308243
A-5925,-8.479083
A-5928,-8.290039
A-5929,-8.464568
A-5930,-8.667095
A-5932,-8.755372
A-5933,-8.520249
A-5934,-8.505870
A-5937,-8.721196
A-5940,-8.914844
A-5941,-8.797313
A-5951,-9.227651
A-5954,-9.196939
A-5958,-9.135966
A-5959,-9.292010
A-5961,-9.219530
A-5964,-9.407174
A-5965,-9.816435
A-5972,-7.992628
A-5977,-8.193986
A-5978,-8.277967
A-5979,-8.983050
A-5991,-7.931984
A-5992,-7.991103
A-5993,-8.146786
A-5995,-7.633199
A-5996,-6.489140
A-5997,-7.717157
A-5998,-7.718510
A-5999,-6.771510
A-6001,-8.087171
A-6005,-6.719775
A-6006,-6.733128
A-6008,-7.926047
A-6010,-7.744016
A-6011,-8.106483
A-6012,-8.111892
A-6013,-7.100222
A-6014,-6.963972
A-6015,-7.051425
A-6017,-7.980671
A-6018,-8.232476
A-6020,-6.975820
A-6021,-7.115885
A-6023,-7.169736
A-6025,-8.102753
A-6026,-7.931848
A-6027,-8.070165
A-6029,-6.042384
A-6030,-6.912156
A-6031,-7.691683
A-6033,-7.332831
A-6035,-7.686491
A-6036,-7.341090
A-6037,-7.379569
A-6038,-8.278765
A-6039,-8.247579
A-6040,-8.476149
A-6042,-7.214643
A-6044,-7.456475
A-6047,-7.547294
A-6048,-7.727396
A-6049,-7.472820
A-6050,-7.397875
A-6051,-7.487633
A-6054,-6.757182
A-6055,-6.441684
A-6056,-7.678196
A-6057,-7.777866
A-6058,-7.528010
A-6059,-7.582934
A-6060,-7.564994
A-6062,-7.516530
A-6063,-7.534690
A-6068,-8.647057
A-6070,-6.772570
A-6071,-8.545918
A-6072,-8.705297
A-6079,-8.405541
A-6081,-8.529656
A-6085,-8.646143
A-6087,-8.754650
A-6088,-8.848513
A-6091,-8.782716
A-6094,-9.204759
A-6098,-9.534420
A-6101,-9.981896
A-6105,-10.234717
A-6108,-10.098914
B-1,-2.452200
B-2,-3.250200
B-4,-0.922700
B-5,1.045400
B-6,-4.878900
B-7,-1.130900
B-8,-1.466600
B-9,-2.675800
B-13,-3.920800
B-14,-5.310600
B-15,-0.945000
B-17,-2.444600
B-18,-2.600300
B-22,-2.369800
B-25,-3.007700
B-26,-2.150400
B-28,-1.114100
B-29,-4.804100
B-30,-4.277300
B-31,0.001800
B-33,-0.331500
B-34,0.359700
B-36,-6.505200
B-40,0.789800
B-42,-2.248100
B-44,-5.776900
B-45,-1.077700
B-46,-2.425900
B-47,1.100600
B-48,-3.815600
B-50,0.294800
B-51,-5.383500
B-56,0.835100
B-58,0.764300
B-59,-1.695300
B-61,1.221100
B-63,-1.886100
B-64,0.635300
B-65,0.787800
B-66,1.118600
B-68,-4.419200
B-69,-1.988500
B-70,-6.864400
B-71,-5.366900
B-73,-4.844100
B-74,-2.175700
B-75,-4.397900
B-80,0.749000
B-81,-2.139400
B-82,-4.602600
B-84,-1.188700
B-85,-1.570400
B-86,-0.659300
B-87,-0.154700
B-88,0.584800
B-89,0.935100
B-90,-1.595900
B-95,0.585400
B-97,1.580800
B-98,-3.284000
B-99,-6.290800
B-100,-4.215500
B-102,-4.081500
B-107,0.245300
B-108,-3.016300
B-112,0.809100
B-114,-3.356700
B-120,-2.366000
B-121,-0.948200
B-124,-2.858300
B-125,-1.826000
B-126,0.475800
B-128,-2.595800
B-131,1.236000
B-132,1.107200
B-133,-3.668700
B-135,-4.627100
B-137,-2.288800
B-140,0.357700
B-142,-3.463400
B-143,-2.667700
B-145,-1.669500
B-146,-0.531400
B-148,-1.142600
B-149,-5.292600
B-153,-6.538600
B-154,-2.778500
B-157,-2.117900
B-159,-3.591300
